title,abstract,description,prerequisites
"I want to deploy my Flask app on Kubernetes, what are my options?","After creating a great web app using Python such as with flask, the next hurdle to production is how to make it available to users and operate it. And not just your app, but also ingress, the database, observability and the list goes on. We will go through your options for simplifying the operations of your web app using open source tooling. This will include using k8s directly with helm charts, PaaS using fly.io and new tooling developed by Canonical using juju. By the end of the talk you will have seen th",,"Some web application development experience, can be beginner"
"Before you Scale, let's talk SOLID - Significance of Solid Principles as a Prerequisite for Scaling Software Systems","In this session we will discuss the importance of SOLID principles as a prerequisite for scaling Software systems. We will talk about what software scaling is, why scaling in open-source projects matters and the challenges project maintainers face while scaling projects. We will also look into what SOLID principles are and why each of the principles matters for software scaling using Python and Django. Attendees will gain knowledge on how to apply SOLID principles using Python and Django.","The session will begin with A brief introduction to Software Scaling,  why Scaling matters and challenges of scaling. an introduction to the SOLID principles and why each of the principles matters for scaling, that is; Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion with code illustration.",Intermediate or Expert
"Coding Aesthetics: PEP 8, Existing Conventions, and Beyond","Coding aesthetics, in this context, refers to how code is written. It is essential that programmers also pay attention to the aesthetics and not just the functionality the code aims to achieve. This talk explores several ways to make Python code aesthetically pleasing, such as code refactoring, using static code analysis tools like PyLint to check compliance with PEP8 guidelines, and applying syntactic sugar. In addition, we will discuss the limitations of PEP8 and how we can make more pragmatic choices.","The talk will start with a few questions, and also with Donald Knuth's quote: ""Programming is the art of telling another human being what one wants the computer to do.""",Just Basic skills and experience with Python programming language should be fine.
Code review the right way,"Code review is central part of everyday developer job. The motivation to create this talk was a quote:
“The most important superpower of a developer is complaining about everybody else's code”. In this talk I’ll explain my approach to better code review.","Sometimes it’s hard to convince a colleague about change or don’t change some lines of code, in my talk I would like to cover some best practices from my software engineering experience about efficient and honest code review. How to create culture of perfect code review. How to apply automatic tools to improve code review routine of repetitive comments or suggestions. How to write/or reuse codign style guides for you team to reduce time of arguing about naming conventions and different styles.
What’s need to be automated and what’s need to be not automated during code review. The key role of patterns which can be reusable to not confuse colleagues.",just basic ideas about code review
Sync or async? Feel the magic of coroutines and the event loop in Django,Struggling with slow I/O in your Django apps? Want to maximize server resources? This talk explores asynchronous Python and its impact on Django.,Are you struggling with slow I/O operations in your Django applications? Do you want to unlock the full potential of your server's resources? This talk dives into the world of asynchronous programming in Python and explores how it can work for your Django applications!,"At least knowing how to code in Python. Knowledge of parallel or concurrent programming might help, but this will still be explained in the beginning."
Architecture as Code (AaC) with Python,"Architecture as Code (AaC) was born for prototyping a new system architecture design without any design tools. Available tools currently support on-premise and main major providers including AWS, Azure, and GCP cloud platforms.","Have you already learned the benefits of the Infrastructure as Code (IaC) process? Not bad, now it’s time for the Architecture as Code (AaC) process. No worries, Python code only, no more JSON or YAML. AaC was born for prototyping a new system architecture design without any design tools. Available tools currently support on-premise and main major providers including AWS, Azure, and GCP cloud platforms. In addition, AaC allows you to track the architecture diagram changes in any version control system.",There are no prerequisites for attending this talk; everyone is welcome regardless of prior knowledge.
The art of yield,"Can you imagine a python project without any return?
Is it overhead or memory saving? Is it complicated or would it reduce complexity? Is it testable or a horror for unittesting?","The general idea of this talk is: to effectively use generators in code, we need to change our programming style, and it's not too easy, but it's possible. During my talk I will convert functions and methods from the project into generators, and we will see what is effective, what is not, and where it is still better to use retur",knowlege about lazy evaluations in python
Using Trusted Publishing to Ansible release,"""Trusted publishing"" is the term for using the OpenID Connect (OIDC) standard in the Python Ecosystem to release on PyPI.  In this talk will go though the usage of trusted publishing in any Python project and how it helped Ansible project to open up release management to the community. This talk is a deep dive explanation of release practicalities of releasing Ansible using trusted publishing.","""Trusted publishing"" is the  the way of  exchanging short-lived identity tokens between a trusted third-party service and PyPI. This key feature in PyPI empowers the project maintainers to make releases via automated environments directly . This helps us to get rid of the use of manually generated API tokens. This talk will dig deeper in the practical aspects and impact of moving manual  release process to automated release via github actions and trusted publishing. The  talk will describe the trusted publishing from the view of a Release Manager of a critical project like Ansible.",Not appliacble
Beyond the GIL: Python's Evolution and Future Directions,"Explore the transformative journey of Python's Global Interpreter Lock (GIL). Delve into the GIL's origins, its role in Python's growth, and its challenges for multicore processing in development. Let's discover the implications of its experimental removal in Python 3.13.1, and how this shift might redefine concurrency, performance, and the future landscape of Python applications across various domains",,Python basics
Python in 3D computer graphics,"Python has emerged as a versatile tool for 3D computer graphics, offering powerful capabilities in modeling, animation, and simulation. This presentation explores the application of Python in creating dynamic and visually engaging 3D graphics using Blender. The session will showcase practical examples that demonstrate Python's potential in various aspects of 3D graphics","Explore techniques for programmatically creating and manipulating 3D models in Blender using Python scripting.
Illustrate how Python can be utilized to animate statistical data in a 3D environment.
Present a Python implementation of the Game of Life cellular automaton within Blender.
Showcase Python scripts for creating randomized animations in Blender.",basics of Python
